x,USD Growth,JPY Growth
15/08/11,-0.40%,-0.20%
12/08/11,-0.40%,-0.70%
11/08/11,-0.80%,-0.70%
10/08/11,1.60%,1.40%
09/08/11,-0.70%,0.40%
08/08/11,-0.30%,0.50%
05/08/11,-0.50%,0.40%
04/08/11,0.50%,1.80%
03/08/11,0.50%,-2.70%
02/08/11,-0.90%,-0.50%
01/08/11,1.70%,1.10%
29/07/11,-1.10%,-0.20%
28/07/11,0.00%,0.20%
27/07/11,1.30%,1.40%
26/07/11,0.20%,0.50%
25/07/11,-0.60%,-0.50%
22/07/11,0.10%,0.30%
21/07/11,-1.20%,-0.70%
20/07/11,-0.10%,0.00%
19/07/11,-0.30%,-0.20%
18/07/11,-0.80%,-0.60%
15/07/11,0.70%,0.80%
14/07/11,0.40%,0.20%
13/07/11,-0.90%,-0.50%
12/07/11,-0.70%,-0.30%
11/07/11,0.60%,1.60%
08/07/11,1.30%,2.50%
07/07/11,0.00%,-0.30%
06/07/11,0.50%,0.30%
05/07/11,1.00%,1.00%
04/07/11,0.30%,-0.10%
01/07/11,-0.10%,-0.20%
30/06/11,-0.20%,-0.60%
29/06/11,-0.20%,0.60%
28/06/11,-1.10%,-1.40%
27/06/11,-0.40%,-0.50%
24/06/11,0.10%,-0.60%
23/06/11,-0.10%,0.50%
22/06/11,1.30%,0.70%
21/06/11,-0.20%,-0.10%
20/06/11,-1.00%,-0.80%
17/06/11,0.20%,0.40%
16/06/11,-1.30%,-0.90%
15/06/11,1.40%,1.70%
14/06/11,1.10%,0.30%
13/06/11,-0.70%,-0.40%
10/06/11,0.90%,0.50%
09/06/11,0.90%,0.70%
08/06/11,0.00%,-0.20%
07/06/11,0.30%,0.80%
06/06/11,-0.40%,-0.40%
03/06/11,-0.70%,-0.10%
02/06/11,-0.20%,-0.20%
01/06/11,-0.40%,0.40%
31/05/11,-0.20%,0.10%
30/05/11,-0.80%,-1.60%
27/05/11,0.00%,0.30%
26/05/11,-0.70%,0.20%
25/05/11,-0.70%,-0.40%
24/05/11,0.10%,0.00%
23/05/11,-0.50%,-0.70%
20/05/11,1.50%,1.40%
19/05/11,0.20%,0.50%
18/05/11,-0.30%,-1.20%
17/05/11,-0.40%,0.20%
16/05/11,-0.20%,-1.20%
13/05/11,1.00%,0.80%
12/05/11,-0.90%,-0.70%
11/05/11,1.40%,1.70%
10/05/11,0.00%,-0.60%
09/05/11,0.30%,0.50%
06/05/11,0.70%,0.20%
05/05/11,2.20%,1.50%
04/05/11,0.50%,2.00%
03/05/11,-0.70%,-1.00%
02/05/11,0.40%,1.20%
29/04/11,0.20%,-0.10%
28/04/11,-0.40%,0.20%
27/04/11,-0.90%,-0.30%
26/04/11,-0.30%,-1.00%
21/04/11,-0.20%,0.10%
20/04/11,-0.50%,0.50%
19/04/11,-1.50%,-1.60%
18/04/11,-0.20%,0.00%
15/04/11,1.20%,1.80%
14/04/11,-0.30%,-0.40%
13/04/11,0.60%,1.70%
12/04/11,-0.20%,0.00%
11/04/11,-0.20%,0.30%
08/04/11,-0.20%,0.40%
07/04/11,-0.80%,-0.90%
06/04/11,0.10%,0.10%
05/04/11,-0.90%,-2.00%
04/04/11,0.50%,0.10%
01/04/11,-0.70%,-0.80%
31/03/11,0.50%,-0.80%
30/03/11,-0.80%,-0.50%
29/03/11,-0.20%,-1.20%
28/03/11,-0.20%,-0.90%
25/03/11,0.60%,0.00%
24/03/11,0.10%,-0.20%
23/03/11,0.10%,0.10%
22/03/11,0.50%,0.60%
21/03/11,-0.10%,-0.10%
18/03/11,-0.50%,-0.30%
17/03/11,-0.90%,-3.70%
16/03/11,-0.40%,1.80%
15/03/11,-0.50%,0.00%
14/03/11,0.50%,1.60%
11/03/11,-1.30%,-0.80%
10/03/11,0.30%,1.40%
09/03/11,0.80%,0.30%
08/03/11,-0.20%,-0.40%
07/03/11,0.90%,0.40%
04/03/11,-0.50%,0.40%
03/03/11,-0.80%,-1.90%
02/03/11,-0.30%,-0.10%
01/03/11,0.10%,0.10%
28/02/11,0.10%,-0.10%
25/02/11,-0.50%,-0.70%
24/02/11,0.10%,0.20%
23/02/11,-0.30%,0.90%
22/02/11,-0.50%,-0.10%
21/02/11,0.00%,0.00%
18/02/11,-0.30%,-0.10%
17/02/11,-0.50%,-0.20%
16/02/11,-0.40%,-0.20%
15/02/11,0.00%,0.10%
14/02/11,-0.50%,-0.90%
11/02/11,0.60%,0.80%
10/02/11,0.60%,-0.30%
09/02/11,0.30%,-0.10%
08/02/11,-0.10%,-0.50%
07/02/11,-0.60%,-0.50%
04/02/11,0.60%,-0.10%
03/02/11,0.80%,0.90%
02/02/11,0.40%,-0.10%
01/02/11,-0.30%,-0.10%
31/01/11,-0.50%,0.30%
28/01/11,0.10%,0.20%
27/01/11,0.00%,1.00%
26/01/11,-0.30%,-1.30%
25/01/11,-0.60%,-0.30%
24/01/11,-0.20%,0.30%
21/01/11,-0.40%,-0.50%
20/01/11,-0.40%,-0.80%
19/01/11,0.30%,-0.10%
18/01/11,-1.00%,-0.50%
17/01/11,-0.40%,-0.30%
14/01/11,0.30%,0.70%
13/01/11,-1.10%,-1.10%
12/01/11,-1.70%,-1.20%
11/01/11,-0.20%,-0.50%
10/01/11,-0.30%,-0.40%
07/01/11,0.40%,1.00%
06/01/11,1.00%,0.60%
05/01/11,0.90%,-0.20%
04/01/11,1.60%,1.40%
03/01/11,-0.50%,-1.40%
31/12/10,0.10%,0.00%
30/12/10,-0.60%,-0.40%
29/12/10,-1.10%,-0.20%
28/12/10,0.40%,0.20%
27/12/10,-0.40%,0.60%
24/12/10,-0.30%,-0.20%
23/12/10,-0.30%,0.30%
22/12/10,0.40%,0.70%
21/12/10,0.30%,0.30%
20/12/10,-0.10%,0.10%
17/12/10,0.90%,1.10%
16/12/10,-0.20%,0.00%
15/12/10,0.90%,0.50%
14/12/10,0.60%,-0.20%
13/12/10,-1.30%,-0.10%
10/12/10,-0.20%,-0.70%
09/12/10,-0.20%,0.20%
08/12/10,-0.10%,0.10%
07/12/10,1.20%,-0.60%
06/12/10,-0.60%,-0.30%
03/12/10,-0.30%,0.70%
02/12/10,-0.70%,0.10%
01/12/10,-0.30%,-0.50%
30/11/10,-0.90%,-1.20%
29/11/10,1.10%,1.60%
26/11/10,0.60%,0.20%
25/11/10,0.70%,0.40%
24/11/10,0.10%,-0.10%
23/11/10,1.20%,1.10%
22/11/10,1.10%,1.30%
19/11/10,0.20%,0.10%
18/11/10,-0.20%,-0.30%
17/11/10,-1.20%,-1.10%
16/11/10,1.00%,0.60%
15/11/10,0.10%,0.10%
12/11/10,0.60%,-0.60%
11/11/10,-0.10%,0.20%
10/11/10,0.50%,0.60%
09/11/10,1.30%,-0.90%
08/11/10,-0.20%,0.40%
05/11/10,1.20%,1.40%
04/11/10,1.10%,0.60%
03/11/10,-1.60%,-1.30%
02/11/10,0.00%,-0.40%
01/11/10,-0.70%,-1.10%
29/10/10,-0.50%,-0.10%
28/10/10,0.00%,0.60%
27/10/10,-0.40%,0.20%
26/10/10,0.80%,0.30%
25/10/10,0.90%,0.10%
22/10/10,-0.70%,0.00%
21/10/10,0.60%,0.40%
20/10/10,-1.10%,-0.90%
19/10/10,0.00%,0.50%
18/10/10,0.30%,-0.10%
15/10/10,1.40%,1.10%
14/10/10,0.10%,0.10%
13/10/10,-1.00%,-0.20%
12/10/10,-0.90%,-0.80%
11/10/10,0.70%,0.80%
08/10/10,-0.40%,0.00%
07/10/10,0.70%,0.80%
06/10/10,-0.80%,-0.10%
05/10/10,-0.50%,-0.20%
04/10/10,-0.50%,-0.60%
01/10/10,0.20%,0.10%
30/09/10,-0.60%,-0.50%
29/09/10,-0.30%,0.10%
28/09/10,-1.10%,-0.60%
27/09/10,0.10%,0.30%
24/09/10,-0.50%,-0.30%
23/09/10,-0.70%,-0.60%
22/09/10,0.30%,0.60%
21/09/10,-1.80%,-1.00%
20/09/10,-0.40%,0.00%
17/09/10,-0.10%,-0.10%
16/09/10,0.10%,0.00%
15/09/10,-0.70%,-0.80%
14/09/10,-1.10%,-3.60%
13/09/10,-0.40%,0.60%
10/09/10,-0.60%,-0.80%
09/09/10,-0.10%,-0.40%
08/09/10,-0.10%,0.00%
07/09/10,0.40%,0.40%
06/09/10,1.00%,1.50%
03/09/10,-0.30%,0.00%
02/09/10,-0.10%,-0.50%
01/09/10,-0.10%,-0.30%
31/08/10,-0.90%,-0.40%
30/08/10,0.20%,0.40%
27/08/10,0.10%,0.20%
26/08/10,-0.20%,-0.50%
25/08/10,-0.60%,-0.60%
24/08/10,0.00%,-0.30%
23/08/10,0.70%,1.90%
20/08/10,0.10%,0.30%
19/08/10,1.00%,1.20%
18/08/10,0.30%,0.10%
17/08/10,-0.20%,-0.20%
16/08/10,-0.30%,-0.20%
13/08/10,-0.20%,0.30%
12/08/10,-0.10%,-0.30%
11/08/10,1.80%,1.00%
10/08/10,0.90%,2.40%
09/08/10,0.90%,0.20%
06/08/10,-0.60%,-0.30%
05/08/10,0.10%,0.50%
04/08/10,0.20%,-0.70%
03/08/10,0.10%,0.50%
02/08/10,-1.10%,-0.20%
30/07/10,-0.30%,-0.60%
29/07/10,0.30%,0.90%
28/07/10,-0.60%,0.30%
27/07/10,0.30%,-0.20%
26/07/10,-0.80%,-1.30%
23/07/10,-0.30%,0.20%
22/07/10,-0.40%,-0.80%
21/07/10,-0.30%,0.00%
20/07/10,0.20%,0.00%
19/07/10,0.90%,1.20%
16/07/10,0.30%,-0.30%
15/07/10,-1.30%,0.50%
14/07/10,-1.00%,-0.50%
13/07/10,-1.10%,-1.40%
12/07/10,0.00%,0.40%
09/07/10,0.50%,0.40%
08/07/10,0.20%,-0.30%
07/07/10,-0.70%,-1.70%
06/07/10,0.10%,0.80%
05/07/10,-0.40%,-0.50%
02/07/10,0.10%,0.00%
01/07/10,-1.80%,-1.60%
30/06/10,-0.50%,0.60%
29/06/10,-0.60%,-0.40%
28/06/10,1.20%,1.80%
25/06/10,-0.40%,-0.20%
24/06/10,-0.30%,-0.40%
23/06/10,0.10%,1.10%
22/06/10,-0.10%,0.30%
21/06/10,1.10%,1.80%
18/06/10,-0.20%,-0.90%
17/06/10,-0.10%,0.70%
16/06/10,-0.70%,-0.70%
15/06/10,-0.20%,-0.30%
14/06/10,-0.10%,0.60%
11/06/10,-1.00%,-1.20%
10/06/10,-0.70%,-1.20%
09/06/10,-0.30%,0.10%
08/06/10,-0.60%,-0.60%
07/06/10,0.10%,0.50%
04/06/10,0.80%,1.70%
03/06/10,1.70%,1.80%
02/06/10,-0.40%,-1.20%
01/06/10,-0.50%,-1.50%
31/05/10,1.30%,1.80%
28/05/10,0.60%,0.40%
27/05/10,-1.00%,-2.00%
26/05/10,0.40%,0.50%
25/05/10,-0.70%,-1.60%
24/05/10,1.10%,1.90%
21/05/10,1.10%,0.40%
20/05/10,-1.30%,-0.10%
19/05/10,-0.50%,0.50%
18/05/10,1.30%,2.50%
17/05/10,-0.60%,-1.00%
14/05/10,1.20%,1.20%
13/05/10,0.80%,1.20%
12/05/10,0.80%,0.90%
11/05/10,0.10%,-0.60%
10/05/10,2.10%,3.10%
07/05/10,-1.70%,-2.60%
06/05/10,-0.10%,1.30%
05/05/10,1.50%,2.80%
04/05/10,1.30%,0.80%
03/05/10,1.10%,1.00%
30/04/10,0.60%,0.70%
29/04/10,-0.40%,-0.80%
28/04/10,-0.10%,-0.20%
27/04/10,0.30%,0.20%
26/04/10,0.20%,0.60%
23/04/10,-0.10%,-0.30%
22/04/10,0.20%,-0.90%
21/04/10,0.30%,0.50%
20/04/10,0.80%,0.50%
19/04/10,-0.40%,-1.50%
16/04/10,0.80%,1.50%
15/04/10,0.10%,0.70%
14/04/10,0.50%,1.00%
13/04/10,-0.20%,-0.80%
12/04/10,0.00%,0.50%
09/04/10,-1.50%,-1.30%
08/04/10,-0.70%,-1.30%
07/04/10,0.30%,1.00%
06/04/10,0.40%,0.80%
01/04/10,0.50%,0.20%
31/03/10,0.10%,-0.30%
30/03/10,0.00%,-0.90%
29/03/10,-0.10%,0.00%
26/03/10,-0.90%,-0.60%
25/03/10,0.00%,-0.50%
24/03/10,-0.10%,-0.70%
23/03/10,1.40%,-0.40%
22/03/10,-0.40%,-0.70%
19/03/10,0.60%,1.30%
18/03/10,0.80%,0.40%
17/03/10,0.70%,0.90%
16/03/10,-0.20%,-0.20%
15/03/10,-0.10%,0.10%
12/03/10,0.40%,0.20%
11/03/10,-0.80%,-0.60%
10/03/10,-0.30%,-0.50%
09/03/10,-0.40%,-1.20%
08/03/10,0.80%,1.40%
05/03/10,-0.60%,-1.60%
04/03/10,0.60%,-0.50%
03/03/10,-0.20%,0.20%
02/03/10,-0.70%,-0.30%
01/03/10,-0.20%,0.00%
26/02/10,0.30%,0.20%
25/02/10,-0.60%,-0.20%
24/02/10,0.40%,1.20%
23/02/10,0.20%,0.80%
22/02/10,0.40%,1.00%
19/02/10,-0.80%,-0.20%
18/02/10,0.40%,-0.70%
17/02/10,1.20%,1.10%
16/02/10,-0.60%,-1.60%
15/02/10,-0.30%,-0.20%
12/02/10,-0.30%,-0.10%
11/02/10,1.10%,0.60%
10/02/10,0.20%,0.00%
09/02/10,0.10%,0.30%
08/02/10,-0.60%,-1.10%
05/02/10,0.10%,0.30%
04/02/10,1.10%,2.60%
03/02/10,1.00%,0.80%
02/02/10,-0.30%,-0.40%
01/02/10,-0.20%,-0.50%
29/01/10,0.40%,0.40%
28/01/10,0.20%,0.20%
27/01/10,0.50%,-0.30%
26/01/10,0.10%,0.30%
25/01/10,0.50%,1.10%
22/01/10,-0.10%,-0.30%
21/01/10,-0.50%,1.40%
20/01/10,0.50%,-0.40%
19/01/10,1.00%,0.90%
18/01/10,0.60%,0.40%
15/01/10,0.00%,0.30%
14/01/10,0.80%,1.60%
13/01/10,0.50%,0.10%
12/01/10,-0.60%,-0.50%
11/01/10,0.30%,1.40%
08/01/10,-1.80%,-0.60%
07/01/10,0.20%,0.10%
06/01/10,0.30%,-0.60%
05/01/10,0.60%,-0.10%
04/01/10,-0.40%,0.80%
31/12/09,0.10%,-0.30%
30/12/09,-0.50%,-0.60%
29/12/09,0.70%,0.10%
28/12/09,-0.20%,-0.40%
24/12/09,0.00%,-0.10%
23/12/09,-0.80%,-0.60%
22/12/09,0.00%,-0.10%
21/12/09,0.60%,-0.60%
18/12/09,-0.20%,-0.30%
17/12/09,0.00%,-0.30%
16/12/09,1.50%,1.00%
15/12/09,-0.10%,-0.30%
14/12/09,0.70%,-0.50%
11/12/09,0.80%,1.20%
10/12/09,-0.20%,-0.80%
09/12/09,0.30%,-0.10%
08/12/09,0.00%,0.60%
07/12/09,0.10%,1.90%
04/12/09,1.90%,-0.10%
03/12/09,0.30%,0.10%
02/12/09,-0.20%,-1.20%
01/12/09,-0.10%,-0.40%
30/11/09,-0.30%,-1.00%
27/11/09,-0.70%,-0.40%
26/11/09,1.00%,1.20%
25/11/09,0.10%,1.10%
24/11/09,-0.80%,0.40%
23/11/09,0.00%,0.30%
20/11/09,-1.00%,-0.90%
19/11/09,0.30%,0.10%
18/11/09,0.60%,1.00%
17/11/09,-0.50%,-0.50%
16/11/09,0.60%,0.90%
13/11/09,-0.60%,-0.40%
12/11/09,0.40%,0.60%
11/11/09,0.80%,0.60%
10/11/09,-0.50%,-0.40%
09/11/09,0.10%,0.20%
06/11/09,-0.80%,0.00%
05/11/09,0.00%,-0.30%
04/11/09,-0.70%,0.00%
03/11/09,-0.70%,-1.50%
02/11/09,0.80%,0.50%
30/10/09,0.20%,1.30%
29/10/09,-0.10%,0.30%
28/10/09,0.00%,-0.30%
27/10/09,0.60%,1.60%
26/10/09,1.00%,0.90%
23/10/09,0.00%,-0.10%
22/10/09,-0.10%,-0.80%
21/10/09,-0.50%,-0.80%
20/10/09,0.30%,-0.20%
19/10/09,-0.40%,0.10%
16/10/09,-0.30%,0.00%
15/10/09,0.00%,-1.10%
14/10/09,0.10%,-0.50%
13/10/09,-0.10%,-0.30%
12/10/09,-0.70%,0.00%
09/10/09,-0.10%,-1.40%
08/10/09,0.10%,-0.50%
07/10/09,-0.50%,0.20%
06/10/09,0.20%,0.40%
05/10/09,-0.70%,0.20%
02/10/09,-0.50%,-1.10%
01/10/09,0.00%,0.60%
30/09/09,0.70%,0.20%
29/09/09,-0.60%,-0.10%
28/09/09,0.70%,0.20%
25/09/09,0.10%,1.10%
24/09/09,0.70%,1.00%
23/09/09,0.10%,0.80%
22/09/09,0.00%,0.10%
21/09/09,-0.80%,0.30%
18/09/09,0.30%,-1.00%
17/09/09,0.00%,0.20%
16/09/09,-0.30%,-1.30%
15/09/09,-0.40%,0.50%
14/09/09,-0.30%,-0.70%
11/09/09,0.20%,0.20%
10/09/09,-0.30%,1.00%
09/09/09,-0.20%,0.20%
08/09/09,-0.30%,-0.40%
07/09/09,-1.00%,-0.20%
04/09/09,-0.50%,-0.70%
03/09/09,0.50%,0.00%
02/09/09,-0.80%,-0.60%
01/09/09,0.70%,1.20%
31/08/09,-0.30%,-0.10%
28/08/09,0.60%,1.20%
27/08/09,-0.70%,-0.80%
26/08/09,0.00%,0.50%
25/08/09,0.40%,0.50%
24/08/09,0.00%,0.40%
21/08/09,0.00%,-1.00%
20/08/09,-0.60%,-0.10%
19/08/09,-0.90%,-1.20%
18/08/09,-0.10%,1.20%
17/08/09,-0.20%,-0.90%
14/08/09,1.60%,2.00%
13/08/09,0.00%,1.40%
12/08/09,-0.90%,-1.30%
11/08/09,0.00%,0.70%
10/08/09,0.30%,0.90%
07/08/09,1.10%,-0.80%
06/08/09,0.10%,0.30%
05/08/09,0.30%,0.10%
04/08/09,-0.20%,-0.80%
03/08/09,-0.60%,-0.30%
31/07/09,-1.20%,-0.40%
30/07/09,-0.60%,-1.10%
29/07/09,0.40%,0.00%
28/07/09,0.90%,0.50%
27/07/09,0.30%,0.80%
24/07/09,-0.30%,-0.50%
23/07/09,0.00%,-0.50%
22/07/09,-0.30%,-1.30%
21/07/09,0.20%,1.20%
20/07/09,0.00%,0.30%
17/07/09,-0.90%,-1.80%
16/07/09,0.30%,0.40%
15/07/09,-0.30%,-0.80%
14/07/09,-0.70%,-0.90%
13/07/09,-0.10%,-1.00%
10/07/09,-0.50%,-0.60%
09/07/09,0.60%,1.40%
08/07/09,-0.60%,0.70%
07/07/09,0.80%,2.00%
06/07/09,-0.90%,-0.90%
03/07/09,0.80%,1.40%
02/07/09,0.30%,1.20%
01/07/09,0.30%,0.40%
30/06/09,0.30%,-0.70%
29/06/09,-0.50%,-1.10%
26/06/09,0.30%,0.40%
25/06/09,-1.10%,-0.10%
24/06/09,0.60%,-0.40%
23/06/09,-0.40%,-0.20%
22/06/09,-0.90%,-0.40%
19/06/09,0.50%,1.40%
18/06/09,-0.10%,-0.90%
17/06/09,-0.60%,-0.20%
16/06/09,0.40%,1.10%
15/06/09,-0.30%,1.00%
12/06/09,1.10%,1.10%
11/06/09,-0.20%,-0.10%
10/06/09,1.00%,0.50%
09/06/09,-1.00%,-0.90%
08/06/09,-0.70%,-0.20%
05/06/09,2.20%,0.70%
04/06/09,-0.60%,-0.80%
03/06/09,0.80%,0.00%
02/06/09,0.20%,-0.20%
01/06/09,-0.10%,-0.90%
29/05/09,-0.90%,0.20%
28/05/09,-1.70%,-0.60%
27/05/09,0.30%,-1.40%
26/05/09,0.10%,-0.30%
25/05/09,0.70%,0.90%
22/05/09,-0.30%,-1.40%
21/05/09,-1.40%,-0.40%
20/05/09,-0.60%,0.20%
19/05/09,-0.60%,-0.10%
18/05/09,-0.90%,-1.20%
15/05/09,0.20%,-0.50%
14/05/09,0.30%,0.60%
13/05/09,0.40%,1.20%
12/05/09,0.40%,1.50%
11/05/09,-0.80%,-0.10%
08/05/09,-1.10%,0.40%
07/05/09,-0.50%,-0.50%
06/05/09,-0.30%,-1.20%
05/05/09,0.60%,1.10%
04/05/09,-1.30%,-0.80%
30/04/09,0.40%,-0.90%
29/04/09,-0.10%,-1.40%
28/04/09,-2.10%,-2.70%
27/04/09,1.00%,1.40%
24/04/09,0.80%,1.20%
23/04/09,-1.40%,0.00%
22/04/09,-0.80%,-1.10%
21/04/09,-0.10%,0.00%
20/04/09,0.30%,0.80%
17/04/09,0.70%,1.50%
16/04/09,1.10%,0.60%
15/04/09,-0.20%,0.20%
14/04/09,0.80%,1.40%
09/04/09,0.00%,0.40%
08/04/09,-0.30%,-0.50%
07/04/09,0.20%,0.30%
06/04/09,1.80%,2.40%
03/04/09,-0.50%,-1.40%
02/04/09,-0.20%,-0.40%
01/04/09,-1.10%,-2.00%
31/03/09,0.50%,0.20%
30/03/09,-0.90%,-2.50%
27/03/09,0.80%,1.50%
26/03/09,2.30%,2.90%
25/03/09,-0.80%,-1.00%
24/03/09,0.10%,0.30%
23/03/09,0.40%,-1.20%
20/03/09,-0.10%,-1.00%
19/03/09,0.90%,-0.20%
18/03/09,-4.00%,-0.60%
17/03/09,-1.40%,-0.70%
16/03/09,0.80%,0.30%
13/03/09,-1.10%,-1.20%
12/03/09,-1.00%,-2.10%
11/03/09,0.00%,0.80%
10/03/09,0.00%,0.10%
09/03/09,-1.70%,-0.80%
06/03/09,0.70%,-1.50%
05/03/09,-0.80%,1.80%
04/03/09,0.00%,0.00%
03/03/09,0.50%,-0.80%
02/03/09,-0.20%,-0.90%
27/02/09,0.40%,0.60%
26/02/09,1.10%,1.70%
25/02/09,0.10%,-1.30%
24/02/09,-0.30%,-1.10%
23/02/09,0.30%,-1.10%
20/02/09,-1.60%,-2.00%
19/02/09,0.90%,0.30%
18/02/09,-0.90%,-1.80%
17/02/09,0.30%,-0.50%
16/02/09,1.00%,1.00%
13/02/09,0.50%,0.20%
12/02/09,0.10%,-1.80%
11/02/09,0.80%,0.90%
10/02/09,0.20%,1.60%
09/02/09,0.30%,0.70%
06/02/09,-1.60%,-2.10%
05/02/09,0.30%,-1.40%
04/02/09,-0.10%,-0.70%
03/02/09,0.20%,0.60%
02/02/09,-0.70%,-0.90%
30/01/09,0.40%,0.80%
29/01/09,2.30%,2.70%
28/01/09,1.10%,0.40%
27/01/09,-0.60%,-0.80%
26/01/09,-1.40%,-1.50%
23/01/09,-1.50%,-1.90%
22/01/09,1.50%,1.20%
21/01/09,-0.60%,1.00%
20/01/09,0.20%,0.70%
19/01/09,1.90%,1.90%
16/01/09,0.70%,0.80%
15/01/09,-1.40%,-2.60%
14/01/09,0.70%,0.60%
13/01/09,0.70%,0.70%
12/01/09,1.00%,1.60%
09/01/09,2.20%,3.30%
08/01/09,-0.50%,0.00%
07/01/09,-0.20%,2.00%
06/01/09,-1.90%,-0.70%
05/01/09,1.90%,0.80%
02/01/09,2.10%,-0.10%
31/12/08,0.40%,-0.40%
30/12/08,1.30%,1.00%
29/12/08,1.20%,1.20%
24/12/08,-1.90%,-1.80%
23/12/08,-0.20%,-0.50%
22/12/08,-0.10%,-0.30%
19/12/08,-0.20%,-0.70%
18/12/08,4.80%,3.60%
17/12/08,-3.80%,-3.80%
16/12/08,-2.60%,-0.90%
15/12/08,-1.30%,-0.60%
12/12/08,-1.30%,-1.80%
11/12/08,-0.90%,0.40%
10/12/08,-2.20%,-0.70%
09/12/08,-0.70%,-0.80%
08/12/08,0.10%,1.10%
05/12/08,-1.50%,-2.70%
04/12/08,-0.40%,0.20%
03/12/08,0.00%,0.20%
02/12/08,0.60%,1.00%
01/12/08,-0.70%,-0.10%
28/11/08,0.90%,2.60%
27/11/08,1.40%,1.30%
26/11/08,0.30%,0.00%
25/11/08,-1.00%,0.00%
24/11/08,-0.30%,-0.50%
21/11/08,-1.30%,-2.60%
20/11/08,-0.50%,0.50%
19/11/08,0.70%,1.80%
18/11/08,0.20%,-0.10%
17/11/08,0.10%,0.00%
14/11/08,0.10%,0.20%
13/11/08,-1.20%,-1.50%
12/11/08,0.00%,1.20%
11/11/08,1.70%,2.40%
10/11/08,1.10%,2.50%
07/11/08,-1.00%,-2.80%
06/11/08,0.10%,0.50%
05/11/08,0.80%,2.00%
04/11/08,-0.40%,0.00%
03/11/08,0.00%,-0.80%
31/10/08,-0.50%,-1.10%
30/10/08,2.20%,3.00%
29/10/08,-2.00%,-3.70%
28/10/08,-1.90%,-3.70%
27/10/08,-0.50%,-3.10%
24/10/08,1.10%,1.40%
23/10/08,1.70%,6.00%
22/10/08,0.30%,2.00%
21/10/08,2.70%,4.90%
20/10/08,1.80%,2.50%
17/10/08,-0.10%,-0.60%
16/10/08,0.80%,0.30%
15/10/08,0.90%,1.70%
14/10/08,0.90%,2.20%
13/10/08,-0.80%,-3.30%
10/10/08,-0.40%,-1.40%
09/10/08,0.80%,2.30%
08/10/08,0.40%,0.40%
07/10/08,-0.70%,0.80%
06/10/08,0.00%,0.90%
03/10/08,1.50%,3.10%
02/10/08,0.50%,0.90%
01/10/08,1.30%,2.10%
30/09/08,1.60%,0.60%
29/09/08,0.30%,1.20%
26/09/08,2.00%,1.20%
25/09/08,0.40%,1.20%
24/09/08,-0.10%,-0.20%
23/09/08,0.30%,-0.10%
22/09/08,-1.10%,-0.10%
19/09/08,-2.30%,-1.40%
18/09/08,1.90%,-0.70%
17/09/08,-1.90%,-1.10%
16/09/08,0.30%,-1.50%
15/09/08,-0.80%,1.20%
12/09/08,-0.60%,0.70%
11/09/08,-0.90%,-1.50%
10/09/08,1.10%,1.20%
09/09/08,0.40%,1.60%
08/09/08,0.50%,1.00%
05/09/08,0.20%,-1.90%
04/09/08,1.70%,3.40%
03/09/08,-0.30%,0.00%
02/09/08,0.50%,0.80%
01/09/08,0.70%,-0.20%
29/08/08,0.80%,1.60%
28/08/08,0.20%,0.80%
27/08/08,0.00%,-0.30%
26/08/08,-1.10%,-0.50%
25/08/08,1.20%,1.30%
22/08/08,0.30%,0.10%
21/08/08,0.00%,-1.40%
20/08/08,-0.50%,1.20%
19/08/08,-0.40%,-0.70%
18/08/08,0.20%,0.70%
15/08/08,0.20%,0.30%
14/08/08,1.20%,0.40%
13/08/08,0.00%,-0.80%
12/08/08,0.00%,1.20%
11/08/08,0.70%,0.50%
08/08/08,0.40%,0.50%
07/08/08,2.60%,2.10%
06/08/08,0.00%,-0.60%
05/08/08,0.10%,-0.70%
04/08/08,0.50%,0.80%
01/08/08,0.10%,-0.60%
31/07/08,0.20%,0.90%
30/07/08,-0.10%,-0.50%
29/07/08,0.70%,0.70%
28/07/08,0.30%,0.20%
25/07/08,-0.10%,-0.50%
24/07/08,-0.40%,0.10%
23/07/08,0.40%,0.50%
22/07/08,1.10%,-0.30%
21/07/08,-0.40%,0.20%
18/07/08,-0.30%,-0.40%
17/07/08,0.20%,-0.90%
16/07/08,0.20%,-1.10%
15/07/08,0.60%,1.10%
14/07/08,-0.90%,1.10%
11/07/08,-0.10%,-0.50%
10/07/08,-0.80%,0.10%
09/07/08,0.00%,0.20%
08/07/08,-0.20%,-0.50%
07/07/08,-0.20%,0.30%
04/07/08,0.10%,-0.70%
03/07/08,1.40%,0.80%
02/07/08,-0.50%,-0.10%
01/07/08,-0.20%,-1.10%
30/06/08,-0.10%,-0.10%
27/06/08,-0.10%,0.40%
26/06/08,-0.10%,1.30%
25/06/08,-0.80%,-0.50%
24/06/08,-0.20%,-0.20%
23/06/08,-0.30%,-0.30%
20/06/08,0.60%,0.20%
19/06/08,-0.80%,-0.50%
18/06/08,0.10%,0.40%
17/06/08,-0.10%,0.00%
16/06/08,-0.10%,-0.20%
13/06/08,-0.80%,-0.70%
12/06/08,0.50%,0.00%
11/06/08,0.60%,0.20%
10/06/08,0.10%,-0.40%
09/06/08,1.70%,0.60%
06/06/08,-1.20%,-0.60%
05/06/08,-1.30%,-1.40%
04/06/08,0.40%,-1.00%
03/06/08,0.80%,0.70%
02/06/08,-0.50%,-0.20%
