x,USD Growth,JPY Growth
22/12/16,0.00%,0.20%
21/12/16,-0.20%,-0.40%
20/12/16,-0.50%,0.10%
19/12/16,0.60%,-0.20%
16/12/16,0.20%,1.00%
15/12/16,-0.20%,-0.30%
14/12/16,2.20%,-0.50%
13/12/16,-0.30%,-0.10%
12/12/16,-0.10%,0.30%
09/12/16,-0.30%,-1.00%
08/12/16,1.90%,0.90%
07/12/16,-0.30%,-0.20%
06/12/16,0.00%,-0.10%
05/12/16,-0.30%,0.00%
02/12/16,-0.60%,-0.90%
01/12/16,-0.10%,0.20%
30/11/16,0.10%,-0.70%
29/11/16,-0.60%,-0.80%
28/11/16,0.10%,-0.20%
25/11/16,0.00%,0.40%
24/11/16,-0.40%,-0.30%
23/11/16,0.50%,-1.20%
22/11/16,0.10%,-0.30%
21/11/16,0.10%,-0.10%
18/11/16,0.00%,-0.50%
17/11/16,0.80%,0.10%
16/11/16,-0.10%,0.10%
15/11/16,0.60%,-0.60%
14/11/16,0.10%,-0.20%
11/11/16,1.20%,-0.30%
10/11/16,-0.10%,0.40%
09/11/16,1.20%,-1.60%
08/11/16,0.10%,1.00%
07/11/16,0.20%,-0.20%
04/11/16,0.30%,-1.00%
03/11/16,-0.30%,0.00%
02/11/16,0.30%,0.30%
01/11/16,-0.60%,0.80%
31/10/16,-0.70%,-0.50%
28/10/16,-0.20%,0.10%
27/10/16,0.00%,-0.60%
26/10/16,0.00%,-0.40%
25/10/16,-0.50%,-0.30%
24/10/16,0.20%,-0.30%
21/10/16,0.00%,-0.30%
20/10/16,0.90%,0.70%
19/10/16,0.00%,-0.20%
18/10/16,0.10%,0.80%
17/10/16,0.00%,0.10%
14/10/16,0.10%,0.30%
13/10/16,0.30%,-0.20%
12/10/16,-0.20%,0.00%
11/10/16,0.50%,0.30%
10/10/16,0.70%,0.40%
07/10/16,-0.20%,0.00%
06/10/16,0.40%,0.50%
05/10/16,0.20%,-0.30%
04/10/16,-0.40%,-1.00%
03/10/16,0.70%,-0.50%
30/09/16,-0.70%,-0.70%
29/09/16,0.50%,0.70%
28/09/16,0.00%,-0.80%
27/09/16,0.00%,-0.40%
26/09/16,0.40%,0.50%
23/09/16,-0.40%,-0.10%
22/09/16,0.20%,0.20%
21/09/16,-0.80%,-0.60%
20/09/16,0.30%,1.30%
19/09/16,-0.20%,-0.20%
16/09/16,0.50%,0.60%
15/09/16,0.20%,0.60%
14/09/16,-0.30%,0.30%
13/09/16,0.30%,-0.30%
12/09/16,-0.20%,-0.50%
09/09/16,0.40%,1.30%
08/09/16,0.20%,-0.90%
07/09/16,-0.50%,-0.50%
06/09/16,-0.70%,1.00%
05/09/16,0.00%,-0.10%
02/09/16,0.30%,0.50%
01/09/16,-0.40%,-0.20%
31/08/16,-0.10%,-0.50%
30/08/16,0.30%,-0.60%
29/08/16,0.00%,0.00%
26/08/16,1.10%,-0.80%
25/08/16,0.00%,0.10%
24/08/16,-0.20%,-0.40%
23/08/16,0.60%,0.50%
22/08/16,-0.30%,0.20%
19/08/16,0.20%,-0.20%
18/08/16,0.00%,0.10%
17/08/16,-0.40%,-0.10%
16/08/16,0.20%,-0.70%
15/08/16,-1.00%,0.20%
12/08/16,-0.20%,0.70%
11/08/16,0.00%,-0.60%
10/08/16,0.30%,0.00%
09/08/16,-0.90%,0.20%
08/08/16,0.10%,0.30%
05/08/16,0.60%,-0.80%
04/08/16,-0.20%,-0.10%
03/08/16,0.60%,0.50%
02/08/16,-0.10%,0.40%
01/08/16,-0.30%,0.50%
29/07/16,-0.50%,0.50%
28/07/16,-0.20%,1.10%
27/07/16,-0.90%,0.10%
26/07/16,0.10%,-1.30%
25/07/16,-0.10%,1.70%
22/07/16,0.30%,0.20%
21/07/16,0.00%,0.20%
